ModelYear,AutoPhevRange,AutoPropPhev,AutoMpkwh,AutoMpg,LtTruckPhevRange,LtTruckPropPhev,LtTruckMpkwh,LtTruckMpg
1975,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0
1982,0,0,0,0,0,0,0,0
1983,0,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0
1987,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0
1989,0,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,25,0,3.5,46,25,0,2,28
2011,25,0,3.525,48,25,0,2.025,30.4
2012,25,0,3.55,50,25,0,2.05,32.8
2013,25,0,3.575,52,25,0,2.075,35.2
2014,25,0,3.6,54,25,0,2.1,37.6
2015,25,0,3.625,56,25,0,2.125,40
2016,25,0,3.65,57.2,25,0,2.15,41.4
2017,25,0,3.675,58.4,25,0,2.175,42.8
2018,25,0,3.7,59.6,25,0,2.2,44.2
2019,25,0,3.725,60.8,25,0,2.225,45.6
2020,25,0,3.75,62,25,0,2.25,47
2021,30,0.012,3.775,62.8,30,0.010666667,2.275,47.8
2022,30,0.024,3.8,63.6,30,0.021333333,2.3,48.6
2023,30,0.036,3.825,64.4,30,0.032,2.325,49.4
2024,30,0.048,3.85,65.2,30,0.042666667,2.35,50.2
2025,30,0.06,3.875,66,30,0.053333333,2.375,51
2026,30,0.072,3.9,66.6,30,0.064,2.4,51.6
2027,30,0.084,3.925,67.2,30,0.074666667,2.425,52.2
2028,30,0.108,3.95,67.8,30,0.096,2.45,52.8
2029,30,0.12,3.975,68.4,30,0.106666667,2.475,53.4
2030,30,0.132,4,69,30,0.117333333,2.5,54
2031,35,0.156,4.025,69.4,35,0.138666667,2.525,54.3
2032,35,0.168,4.05,69.8,35,0.149333333,2.55,54.6
2033,35,0.192,4.075,70.1,35,0.170666667,2.575,54.8
2034,35,0.204,4.1,70.5,35,0.181333333,2.6,55.1
2035,35,0.228,4.125,70.9,35,0.202666667,2.625,55.4
2036,35,0.252,4.15,71.2,35,0.224,2.65,55.7
2037,35,0.288,4.175,71.6,35,0.256,2.675,56
2038,35,0.336,4.2,72,35,0.298666667,2.7,56.2
2039,35,0.384,4.225,72.3,35,0.341333333,2.725,56.5
2040,35,0.42,4.25,72.7,35,0.373333333,2.75,56.8
2041,40,0.456,4.275,73.1,40,0.405333333,2.775,57.1
2042,40,0.492,4.3,73.4,40,0.437333333,2.8,57.4
2043,40,0.54,4.325,73.8,40,0.48,2.825,57.6
2044,40,0.6,4.35,74.2,40,0.533333333,2.85,57.9
2045,40,0.66,4.375,74.5,40,0.586666667,2.875,58.2
2046,40,0.708,4.4,74.9,40,0.629333333,2.9,58.5
2047,40,0.756,4.425,75.3,40,0.672,2.925,58.8
2048,40,0.816,4.45,75.6,40,0.725333333,2.95,59.1
2049,40,0.864,4.475,76,40,0.768,2.975,59.3
2050,40,0.9,4.5,76.4,40,0.8,3,59.6
