Azone,Bzone,Czone,Marea
Baker,NA,NA,None
Benton,NA,NA,Corvallis
Clackamas,NA,NA,Portland
Clatsop,NA,NA,None
Columbia,NA,NA,Portland
Coos,NA,NA,None
Crook,NA,NA,None
Curry,NA,NA,None
Deschutes,NA,NA,Bend
Douglas,NA,NA,None
Gilliam,NA,NA,None
Grant,NA,NA,None
Harney,NA,NA,None
Hood River,NA,NA,None
Jackson,NA,NA,Medford
Jefferson,NA,NA,None
Josephine,NA,NA,Grants Pass
Klamath,NA,NA,None
Lake,NA,NA,None
Lane,NA,NA,Eugene
Lincoln,NA,NA,None
Linn,NA,NA,Albany
Malheur,NA,NA,None
Marion,NA,NA,Salem
Morrow,NA,NA,None
Multnomah,NA,NA,Portland
Polk,NA,NA,Salem
Sherman,NA,NA,None
Tillamook,NA,NA,None
Umatilla,NA,NA,None
Union,NA,NA,None
Wallowa,NA,NA,None
Wasco,NA,NA,None
Washington,NA,NA,Portland
Wheeler,NA,NA,None
Yamhill,NA,NA,Portland
