Geo,Year,CenterCarSvcLevel,InnerCarSvcLevel,OuterCarSvcLevel,FringeCarSvcLevel
Baker,2010,Low,Low,Low,Low
Benton,2010,Low,Low,Low,Low
Clackamas,2010,Low,Low,Low,Low
Clatsop,2010,Low,Low,Low,Low
Columbia,2010,Low,Low,Low,Low
Coos,2010,Low,Low,Low,Low
Crook,2010,Low,Low,Low,Low
Curry,2010,Low,Low,Low,Low
Deschutes,2010,Low,Low,Low,Low
Douglas,2010,Low,Low,Low,Low
Gilliam,2010,Low,Low,Low,Low
Grant,2010,Low,Low,Low,Low
Harney,2010,Low,Low,Low,Low
Hood River,2010,Low,Low,Low,Low
Jackson,2010,Low,Low,Low,Low
Jefferson,2010,Low,Low,Low,Low
Josephine,2010,Low,Low,Low,Low
Klamath,2010,Low,Low,Low,Low
Lake,2010,Low,Low,Low,Low
Lane,2010,Low,Low,Low,Low
Lincoln,2010,Low,Low,Low,Low
Linn,2010,Low,Low,Low,Low
Malheur,2010,Low,Low,Low,Low
Marion,2010,Low,Low,Low,Low
Morrow,2010,Low,Low,Low,Low
Multnomah,2010,Low,Low,Low,Low
Polk,2010,Low,Low,Low,Low
Sherman,2010,Low,Low,Low,Low
Tillamook,2010,Low,Low,Low,Low
Umatilla,2010,Low,Low,Low,Low
Union,2010,Low,Low,Low,Low
Wallowa,2010,Low,Low,Low,Low
Wasco,2010,Low,Low,Low,Low
Washington,2010,Low,Low,Low,Low
Wheeler,2010,Low,Low,Low,Low
Yamhill,2010,Low,Low,Low,Low
Baker,2040,Low,Low,Low,Low
Benton,2040,Low,Low,Low,Low
Clackamas,2040,High,High,Low,Low
Clatsop,2040,Low,Low,Low,Low
Columbia,2040,Low,Low,Low,Low
Coos,2040,Low,Low,Low,Low
Crook,2040,Low,Low,Low,Low
Curry,2040,Low,Low,Low,Low
Deschutes,2040,Low,Low,Low,Low
Douglas,2040,Low,Low,Low,Low
Gilliam,2040,Low,Low,Low,Low
Grant,2040,Low,Low,Low,Low
Harney,2040,Low,Low,Low,Low
Hood River,2040,Low,Low,Low,Low
Jackson,2040,Low,Low,Low,Low
Jefferson,2040,Low,Low,Low,Low
Josephine,2040,Low,Low,Low,Low
Klamath,2040,Low,Low,Low,Low
Lake,2040,Low,Low,Low,Low
Lane,2040,High,Low,Low,Low
Lincoln,2040,Low,Low,Low,Low
Linn,2040,Low,Low,Low,Low
Malheur,2040,Low,Low,Low,Low
Marion,2040,High,Low,Low,Low
Morrow,2040,Low,Low,Low,Low
Multnomah,2040,High,High,Low,Low
Polk,2040,Low,Low,Low,Low
Sherman,2040,Low,Low,Low,Low
Tillamook,2040,Low,Low,Low,Low
Umatilla,2040,Low,Low,Low,Low
Union,2040,Low,Low,Low,Low
Wallowa,2040,Low,Low,Low,Low
Wasco,2040,Low,Low,Low,Low
Washington,2040,High,High,Low,Low
Wheeler,2040,Low,Low,Low,Low
Yamhill,2040,Low,Low,Low,Low
