Geo,Year,AutoMeanAge,LtTrkMeanAge
Baker,2010,10.8,10.5
Benton,2010,10.8,10.5
Clackamas,2010,10.8,10.5
Clatsop,2010,10.8,10.5
Columbia,2010,10.8,10.5
Coos,2010,10.8,10.5
Crook,2010,10.8,10.5
Curry,2010,10.8,10.5
Deschutes,2010,10.8,10.5
Douglas,2010,10.8,10.5
Gilliam,2010,10.8,10.5
Grant,2010,10.8,10.5
Harney,2010,10.8,10.5
Hood River,2010,10.8,10.5
Jackson,2010,10.8,10.5
Jefferson,2010,10.8,10.5
Josephine,2010,10.8,10.5
Klamath,2010,10.8,10.5
Lake,2010,10.8,10.5
Lane,2010,10.8,10.5
Lincoln,2010,10.8,10.5
Linn,2010,10.8,10.5
Malheur,2010,10.8,10.5
Marion,2010,10.8,10.5
Morrow,2010,10.8,10.5
Multnomah,2010,10.8,10.5
Polk,2010,10.8,10.5
Sherman,2010,10.8,10.5
Tillamook,2010,10.8,10.5
Umatilla,2010,10.8,10.5
Union,2010,10.8,10.5
Wallowa,2010,10.8,10.5
Wasco,2010,10.8,10.5
Washington,2010,10.8,10.5
Wheeler,2010,10.8,10.5
Yamhill,2010,10.8,10.5
Baker,2040,12,12
Benton,2040,12,12
Clackamas,2040,12,12
Clatsop,2040,12,12
Columbia,2040,12,12
Coos,2040,12,12
Crook,2040,12,12
Curry,2040,12,12
Deschutes,2040,12,12
Douglas,2040,12,12
Gilliam,2040,12,12
Grant,2040,12,12
Harney,2040,12,12
Hood River,2040,12,12
Jackson,2040,12,12
Jefferson,2040,12,12
Josephine,2040,12,12
Klamath,2040,12,12
Lake,2040,12,12
Lane,2040,12,12
Lincoln,2040,12,12
Linn,2040,12,12
Malheur,2040,12,12
Marion,2040,12,12
Morrow,2040,12,12
Multnomah,2040,12,12
Polk,2040,12,12
Sherman,2040,12,12
Tillamook,2040,12,12
Umatilla,2040,12,12
Union,2040,12,12
Wallowa,2040,12,12
Wasco,2040,12,12
Washington,2040,12,12
Wheeler,2040,12,12
Yamhill,2040,12,12
