Geo,Year,AveHhSize,Prop1PerHh
Baker,2010,NA,NA
Benton,2010,NA,NA
Clackamas,2010,NA,NA
Clatsop,2010,NA,NA
Columbia,2010,NA,NA
Coos,2010,NA,NA
Crook,2010,NA,NA
Curry,2010,NA,NA
Deschutes,2010,NA,NA
Douglas,2010,NA,NA
Gilliam,2010,NA,NA
Grant,2010,NA,NA
Harney,2010,NA,NA
Hood River,2010,NA,NA
Jackson,2010,NA,NA
Jefferson,2010,NA,NA
Josephine,2010,NA,NA
Klamath,2010,NA,NA
Lake,2010,NA,NA
Lane,2010,NA,NA
Lincoln,2010,NA,NA
Linn,2010,NA,NA
Malheur,2010,NA,NA
Marion,2010,NA,NA
Morrow,2010,NA,NA
Multnomah,2010,NA,NA
Polk,2010,NA,NA
Sherman,2010,NA,NA
Tillamook,2010,NA,NA
Umatilla,2010,NA,NA
Union,2010,NA,NA
Wallowa,2010,NA,NA
Wasco,2010,NA,NA
Washington,2010,NA,NA
Wheeler,2010,NA,NA
Yamhill,2010,NA,NA
Baker,2040,NA,NA
Benton,2040,NA,NA
Clackamas,2040,NA,NA
Clatsop,2040,NA,NA
Columbia,2040,NA,NA
Coos,2040,NA,NA
Crook,2040,NA,NA
Curry,2040,NA,NA
Deschutes,2040,NA,NA
Douglas,2040,NA,NA
Gilliam,2040,NA,NA
Grant,2040,NA,NA
Harney,2040,NA,NA
Hood River,2040,NA,NA
Jackson,2040,NA,NA
Jefferson,2040,NA,NA
Josephine,2040,NA,NA
Klamath,2040,NA,NA
Lake,2040,NA,NA
Lane,2040,NA,NA
Lincoln,2040,NA,NA
Linn,2040,NA,NA
Malheur,2040,NA,NA
Marion,2040,NA,NA
Morrow,2040,NA,NA
Multnomah,2040,NA,NA
Polk,2040,NA,NA
Sherman,2040,NA,NA
Tillamook,2040,NA,NA
Umatilla,2040,NA,NA
Union,2040,NA,NA
Wallowa,2040,NA,NA
Wasco,2040,NA,NA
Washington,2040,NA,NA
Wheeler,2040,NA,NA
Yamhill,2040,NA,NA
