Geo,Year,PaydHhProp
Baker,2010,0.01
Benton,2010,0.01
Clackamas,2010,0.01
Clatsop,2010,0.01
Columbia,2010,0.01
Coos,2010,0.01
Crook,2010,0.01
Curry,2010,0.01
Deschutes,2010,0.01
Douglas,2010,0.01
Gilliam,2010,0.01
Grant,2010,0.01
Harney,2010,0.01
Hood River,2010,0.01
Jackson,2010,0.01
Jefferson,2010,0.01
Josephine,2010,0.01
Klamath,2010,0.01
Lake,2010,0.01
Lane,2010,0.01
Lincoln,2010,0.01
Linn,2010,0.01
Malheur,2010,0.01
Marion,2010,0.01
Morrow,2010,0.01
Multnomah,2010,0.01
Polk,2010,0.01
Sherman,2010,0.01
Tillamook,2010,0.01
Umatilla,2010,0.01
Union,2010,0.01
Wallowa,2010,0.01
Wasco,2010,0.01
Washington,2010,0.01
Wheeler,2010,0.01
Yamhill,2010,0.01
Baker,2040,0.5
Benton,2040,0.5
Clackamas,2040,0.5
Clatsop,2040,0.5
Columbia,2040,0.5
Coos,2040,0.5
Crook,2040,0.5
Curry,2040,0.5
Deschutes,2040,0.5
Douglas,2040,0.5
Gilliam,2040,0.5
Grant,2040,0.5
Harney,2040,0.5
Hood River,2040,0.5
Jackson,2040,0.5
Jefferson,2040,0.5
Josephine,2040,0.5
Klamath,2040,0.5
Lake,2040,0.5
Lane,2040,0.5
Lincoln,2040,0.5
Linn,2040,0.5
Malheur,2040,0.5
Marion,2040,0.5
Morrow,2040,0.5
Multnomah,2040,0.5
Polk,2040,0.5
Sherman,2040,0.5
Tillamook,2040,0.5
Umatilla,2040,0.5
Union,2040,0.5
Wallowa,2040,0.5
Wasco,2040,0.5
Washington,2040,0.5
Wheeler,2040,0.5
Yamhill,2040,0.5
