Veh1Prob,Veh1Value,Veh2Prob,Veh2Value,Veh3Prob,Veh3Value,Veh4Prob,Veh4Value,Veh5PlusProb,Veh5PlusValue
0,0.05,0.019114158,0.05,0.053135889,0.05,0.073743922,0.05,0.131578947,0.05
0,0.1,0.022607435,0.1,0.05937863,0.1,0.102917342,0.1,0.148421053,0.1
0,0.15,0.027814395,0.15,0.069541231,0.15,0.111426256,0.15,0.187368421,0.15
0,0.2,0.034339573,0.2,0.088704994,0.2,0.129659643,0.2,0.124210526,0.2
0,0.25,0.046401265,0.25,0.095092915,0.25,0.142625608,0.25,0.128421053,0.25
0,0.3,0.054574216,0.3,0.100464576,0.3,0.112641815,0.3,0.098947368,0.3
0,0.35,0.06380174,0.35,0.097996516,0.35,0.090356564,0.35,0.074736842,0.35
0,0.4,0.071381492,0.4,0.094802555,0.4,0.070502431,0.4,0.037894737,0.4
0,0.45,0.081531769,0.45,0.079268293,0.45,0.055510535,0.45,0.022105263,0.45
0,0.5,0.078763511,0.5,0.065476189,0.5,0.036871963,0.5,0.021052631,0.5
0,0.55,0.078104403,0.55,0.058217189,0.55,0.029578606,0.55,0.010526316,0.55
0,0.6,0.08159768,0.6,0.042682927,0.6,0.016207455,0.6,0.002105263,0.6
0,0.65,0.071315581,0.65,0.031504065,0.65,0.010534846,0.65,0.008421053,0.65
0,0.7,0.06380174,0.7,0.022357724,0.7,0.007698541,0.7,0.001052632,0.7
0,0.75,0.054640127,0.75,0.016114983,0.75,0.002025932,0.75,0.003157895,0.75
0,0.8,0.046401265,0.8,0.011469222,0.8,0.006077796,0.8,0,0.8
0,0.85,0.034273662,0.85,0.006097561,0.85,0.000810373,0.85,0,0.85
0,0.9,0.027814395,0.9,0.004500581,0.9,0,0.9,0,0.9
0,0.95,0.022673346,0.95,0.00261324,0.95,0.000405186,0.95,0,0.95
1,1,0.019048247,1,0.00058072,1,0.000405186,1,0,1
