AdvVehType,FacilityType,CongEff,a0,a1,a2,a3,a4
LdIce,Fwy,Low,1.514043,0.111216,-0.002934,3.63E-05,-1.73E-07
LdIce,Fwy,High,2.33068,0.080886,-0.002479,2.94E-05,-1.15E-07
LdIce,Art,Low,1.391944,0.114459,-0.002926,3.45E-05,-1.55E-07
LdIce,Art,High,2.33068,0.080886,-0.002479,2.94E-05,-1.15E-07
LdHev,Fwy,Low,1.891605,0.1321,-0.004133,5.78E-05,-2.90E-07
LdHev,Fwy,High,3.122058,0.066735,-0.002487,3.44E-05,-1.63E-07
LdHev,Art,Low,1.803077,0.120354,-0.003429,4.36E-05,-2.06E-07
LdHev,Art,High,2.709889,0.076542,-0.003091,4.77E-05,-2.42E-07
LdEv,Fwy,Low,2.910908,0.113246,-0.00342,4.55E-05,-2.27E-07
LdEv,Fwy,High,4.236186,0.051136,-0.001874,2.41E-05,-1.04E-07
LdEv,Art,Low,2.910908,0.113246,-0.00342,4.55E-05,-2.27E-07
LdEv,Art,High,4.236186,0.051136,-0.001874,2.41E-05,-1.04E-07
LdFcv,Fwy,Low,1.983941,0.132355,-0.003695,4.60E-05,-2.18E-07
LdFcv,Fwy,High,3.047591,0.095516,-0.003235,4.27E-05,-2.00E-07
LdFcv,Art,Low,1.983941,0.132355,-0.003695,4.60E-05,-2.18E-07
LdFcv,Art,High,3.047591,0.095516,-0.003235,4.27E-05,-2.00E-07
HdIce,Fwy,Low,0.084242,0.127122,-0.004816,8.12E-05,-4.90E-07
HdIce,Fwy,High,1.129694,0.12433,-0.00459,7.57E-05,-4.62E-07
HdIce,Art,Low,0.649008,0.125167,-0.004512,7.33E-05,-4.37E-07
HdIce,Art,High,0.720046,0.121301,-0.004669,7.96E-05,-4.89E-07
