"Year","LT5K","GE5K_LT10K","GE10K_LT15K","GE15K_LT20K","GE20K_LT30K","GE30K_LT40K","GE40K_LT50K","GE50K_LT70K","GE70K_LT80K","GE80K_LT100K","GE100K_LT120K","GE120K_LT150K","GE150K"
2003,1837,1455,1898,2707,3218,4031,4665,5616,6311,6939,7306,8028,8583
2004,1615,1498,1912,2757,3138,3922,4451,5503,6145,7226,7697,8495,9234
2005,1906,1591,2095,2684,3437,4193,4868,5770,6723,7375,8006,8906,9989
2006,2145,1662,2181,2759,3416,4275,4955,6116,6885,7264,8101,9089,10467
2007,2383,1799,2236,2691,3803,4534,5537,6345,7410,8009,8712,9862,10520
2008,2615,2094,2456,3377,4092,4685,5405,6659,7715,8675,9219,10123,11038
2009,2004,1828,2110,2700,3404,4516,4684,6028,6812,6911,7950,8651,9901
2010,2078,2007,2304,3295,3586,4450,5285,5737,7003,7171,8040,9417,10154
2011,2379,2328,2398,3077,3931,4776,5519,6626,7273,8219,9468,9466,10732
2012,2436,2056,2492,3277,3863,4918,5738,6505,7727,8052,9082,10005,11427
2013,2730,2377,2599,2926,4246,4892,5367,6821,7430,7913,9299,9682,11609
2014,2469,2009,2357,3131,4164,4775,5506,6460,7198,7709,8607,9948,11907
2015,2315,2523,2599,2754,3806,4484,4950,6022,6678,7126,8257,9384,10303
