State,Interstate,OthFwyExp,OthPrinArt,MinArt,MajColl,MinColl,Local,Total
AL,7552 ,591 ,7461 ,6192 ,3274 ,0 ,8526 ,33596 
AK,663 ,0 ,491 ,798 ,0 ,350 ,291 ,2594 
AZ,6065 ,7278 ,12530 ,7758 ,3109 ,0 ,5934 ,42675 
AR,4093 ,965 ,3621 ,3185 ,1344 ,16 ,1489 ,14713 
CA,68207 ,53407 ,58436 ,48607 ,18465 ,0 ,17666 ,264789 
CO,7489 ,4514 ,9047 ,5257 ,2690 ,0 ,3222 ,32220 
CT,9633 ,3887 ,3646 ,5091 ,2586 ,21 ,2528 ,27393 
DE,1191 ,440 ,1830 ,958 ,733 ,0 ,1017 ,6169 
FL,25371 ,11667 ,38744 ,27907 ,20200 ,0 ,36463 ,160352 
GA,19088 ,2931 ,12655 ,15436 ,4811 ,0 ,20032 ,74953 
HI,1746 ,521 ,1867 ,702 ,928 ,0 ,1807 ,7571 
ID,1271 ,0 ,2230 ,1531 ,667 ,0 ,871 ,6570 
IL,23053 ,1213 ,21027 ,15748 ,8279 ,0 ,9641 ,78961 
IN,9363 ,1339 ,10393 ,8317 ,5053 ,0 ,12933 ,47398 
IA,2592 ,0 ,3630 ,3271 ,963 ,0 ,1914 ,12370 
KS,3641 ,1765 ,3566 ,2778 ,1177 ,0 ,2404 ,15331 
KY,6178 ,800 ,6104 ,3216 ,1742 ,1 ,2213 ,20254 
LA,7569 ,572 ,7672 ,6200 ,2801 ,0 ,1572 ,26386 
ME,838 ,143 ,746 ,947 ,962 ,0 ,427 ,4064 
MD,13485 ,5732 ,10025 ,6200 ,3385 ,0 ,3011 ,41839 
MA,15092 ,5573 ,10817 ,8645 ,2666 ,0 ,7430 ,50223 
MI,15435 ,5271 ,17313 ,15519 ,5363 ,0 ,6744 ,65645 
MN,8260 ,3597 ,4557 ,8569 ,2647 ,0 ,4415 ,32045 
MS,3382 ,515 ,5202 ,2313 ,1656 ,0 ,3329 ,16397 
MO,11642 ,5199 ,6325 ,5263 ,2859 ,3 ,8843 ,40133 
MT,355 ,0 ,970 ,527 ,262 ,0 ,674 ,2789 
NE,1376 ,843 ,2326 ,2114 ,572 ,0 ,1096 ,8328 
NV,3481 ,1666 ,2936 ,4485 ,4 ,2053 ,2583 ,17208 
NH,1597 ,963 ,1284 ,1842 ,905 ,0 ,733 ,7324 
NJ,13513 ,11825 ,16170 ,11083 ,4904 ,0 ,9108 ,66604 
NM,2643 ,0 ,4055 ,1620 ,0 ,1057 ,1568 ,10944 
NY,20317 ,16859 ,18827 ,19652 ,7961 ,0 ,14711 ,98326 
NC,14907 ,5355 ,12611 ,11878 ,5382 ,33 ,12212 ,62378 
ND,422 ,0 ,680 ,571 ,244 ,0 ,386 ,2303 
OH,22652 ,5589 ,12846 ,13203 ,8523 ,0 ,12864 ,75677 
OK,4885 ,2822 ,5776 ,5596 ,1292 ,0 ,5603 ,25973 
OR,4511 ,1335 ,4784 ,3719 ,2278 ,0 ,2216 ,18843 
PA,13154 ,6303 ,16696 ,12843 ,7990 ,0 ,7609 ,64595 
RI,1717 ,1248 ,2156 ,1018 ,968 ,0 ,290 ,7396 
SC,6144 ,812 ,7304 ,5590 ,3497 ,0 ,2094 ,25442 
SD,627 ,38 ,554 ,795 ,238 ,0 ,254 ,2506 
TN,11641 ,1973 ,10845 ,8280 ,2951 ,0 ,6337 ,42027 
TX,39732 ,31134 ,37109 ,29161 ,18359 ,0 ,9496 ,164992 
UT,6105 ,295 ,3117 ,3558 ,1423 ,2 ,4083 ,18583 
VT,379 ,63 ,434 ,344 ,215 ,0 ,412 ,1848 
VA,14913 ,3462 ,13738 ,10494 ,4143 ,0 ,5554 ,52304 
WA,10884 ,5274 ,8929 ,7552 ,2973 ,0 ,4402 ,40014 
WV,2753 ,70 ,1983 ,2107 ,679 ,0 ,551 ,8144 
WI,5267 ,4528 ,9158 ,5040 ,2082 ,0 ,1606 ,27681 
WY,481 ,10 ,761 ,369 ,402 ,3 ,715 ,2742 
DC,477,351,996,740,292,0,734,3591
PR,5033,1040,3600,3491,2180,0,1946,17290
