State,Motorcycle,Auto,LightTruck,Bus,SingleTruck,CombiTruck,Total
AL,0.4,71.7,16.3,0.4,3.3,8.0,100.0
AK,0.2,63.7,29.2,0.2,5.8,1.1,100.0
AZ,0.4,68.5,19.7,0.8,3.8,6.9,100.0
AR,0.2,54.5,24.2,0.6,2.0,18.6,100.0
CA,0.6,72.5,20.4,0.1,2.4,4.1,100.0
CO,0.3,73.9,18.7,0.2,2.0,4.9,100.0
CT,0.1,78.7,12.1,0.2,3.0,5.9,100.0
DE,1.5,72.5,13.3,1.2,5.3,6.3,100.0
FL,0.7,74.3,16.7,0.5,2.9,4.9,100.0
GA,0.2,75.7,15.7,0.6,2.6,5.3,100.0
HI,0.5,74.2,20.5,0.5,3.6,0.8,100.0
ID,0.2,28.0,27.3,0.4,5.2,38.9,100.0
IL,0.6,71.1,15.7,0.7,2.2,9.7,100.0
IN,0.5,56.0,17.2,0.9,2.9,22.5,100.0
IA,0.3,68.4,16.5,0.6,2.5,11.7,100.0
KS,0.6,69.8,20.7,0.1,2.5,6.4,100.0
KY,0.2,76.3,11.9,0.6,1.9,9.1,100.0
LA,0.2,60.7,19.4,0.4,5.8,13.5,100.0
ME,0.6,70.6,16.9,0.5,3.0,8.4,100.0
MD,0.2,80.3,11.9,0.7,3.0,3.9,100.0
MA,0.8,81.1,11.5,1.1,2.0,3.5,100.0
MI,0.4,71.8,18.0,0.2,2.3,7.4,100.0
MN,0.9,65.0,27.2,0.3,2.2,4.0,99.6
MS,0.3,64.8,21.1,0.6,3.7,9.6,100.0
MO,1.5,62.3,19.8,0.5,3.6,12.3,100.0
MT,0.1,59.0,28.9,0.3,4.6,7.1,100.0
NE,0.2,72.1,20.8,0.1,1.9,4.9,100.0
NV,0.2,88.0,4.1,0.5,2.0,5.3,100.0
NH,0.9,66.9,26.1,0.2,3.1,2.8,100.0
NJ,0.2,70.1,16.0,0.4,3.5,9.9,100.0
NM,1.4,61.4,12.9,1.1,3.7,19.5,100.0
NY,0.5,78.1,12.1,0.8,2.8,5.7,100.0
NC,0.4,71.3,14.7,0.6,3.1,9.9,100.0
ND,2.2,57.5,26.6,1.1,4.7,7.9,100.0
OH,0.0,74.0,13.0,0.0,2.0,11.0,100.0
OK,0.4,62.2,25.0,0.4,5.2,6.9,100.0
OR,0.4,54.0,33.1,0.3,3.5,8.8,100.0
PA,1.0,73.1,12.4,0.7,7.0,5.8,100.0
RI,0.4,74.4,20.5,0.6,2.8,1.3,100.0
SC,0.1,75.1,16.2,0.4,2.3,5.9,100.0
SD,1.1,64.6,21.0,0.1,9.8,3.4,100.0
TN,0.4,58.8,21.7,0.2,2.8,16.1,100.0
TX,0.2,69.4,19.9,0.2,3.3,7.0,100.0
UT,1.5,51.6,28.1,0.3,8.9,9.7,100.0
VT,0.5,74.5,15.9,0.9,3.4,4.8,100.0
VA,0.3,76.7,15.1,0.6,1.3,6.1,100.0
WA,0.3,66.0,24.3,0.2,4.3,4.9,100.0
WV,0.4,66.9,16.8,0.8,3.5,11.6,100.0
WI,0.6,78.9,9.7,0.2,5.8,4.8,100.0
WY,0.2,39.7,29.3,0.5,2.0,28.3,100.0
DC,2.5,64.7,27.5,0.6,4.0,0.7,100.0
PR,0.3,70.2,15.4,0.7,3.9,9.5,100.0
